Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1950,24.3,24.2,24.4,24.5,24.8,25.2,25.9,26.1,26.1,26.1,26.2,26.9
1951,27.5,28.0,28.1,28.0,28.2,28.2,28.3,28.2,28.2,28.5,28.7,28.8
1952,28.8,28.2,28.3,28.6,28.7,28.7,29.2,29.2,28.9,28.8,28.8,28.5
1953,28.4,27.9,28.0,27.9,28.1,28.5,28.5,28.6,28.5,28.5,28.1,28.2
1954,28.4,28.2,28.1,28.2,28.4,28.5,28.7,28.6,28.2,28.0,27.9,27.7
1955,27.7,27.8,27.8,27.9,27.9,27.9,28.1,27.9,28.0,27.8,27.5,27.5
1956,27.4,27.3,27.3,27.5,27.8,28.4,28.8,28.4,28.4,28.4,28.3,28.3
1957,28.3,28.5,28.4,28.5,28.7,29.1,29.4,29.5,29.3,29.2,29.1,29.1
1958,29.7,29.8,30.3,30.5,30.5,30.5,30.5,30.3,30.2,30.0,29.9,29.8
1959,29.8,29.7,29.5,29.5,29.5,29.8,29.9,29.7,29.8,29.7,29.5,29.5
1960,29.5,29.4,29.5,30.0,30.0,30.2,30.2,30.1,30.2,30.3,30.4,30.4
1961,30.4,30.4,30.4,30.4,30.3,30.3,30.6,30.4,30.4,30.3,30.2,30.2
1962,30.3,30.5,30.5,30.6,30.5,30.6,30.7,30.7,31.0,30.8,30.8,30.6
1963,31.0,31.0,30.9,30.8,30.8,31.0,31.4,31.4,31.2,31.0,31.1,31.2
1964,31.3,31.4,31.3,31.3,31.2,31.4,31.7,31.6,31.7,31.6,31.6,31.6
1965,31.5,31.5,31.6,31.7,31.9,32.6,32.8,32.6,32.4,32.4,32.4,32.7
1966,33.0,33.5,33.7,33.7,33.6,33.7,33.8,34.3,34.2,34.2,34.0,34.0
1967,33.9,33.8,33.8,33.6,33.7,34.0,34.3,34.5,34.3,34.2,34.2,34.4
1968,34.6,34.7,34.9,35.0,35.1,35.2,35.5,35.6,35.6,35.8,35.6,35.9
1969,36.1,36.1,36.2,36.4,36.6,37.1,37.5,37.7,37.7,37.6,37.9,38.4
1970,38.7,38.9,38.9,39.1,39.2,39.3,39.5,39.5,39.4,39.4,39.2,39.3
1971,39.4,39.5,39.9,40.1,40.3,40.6,40.8,40.9,40.6,40.5,40.6,41.0
1972,41.0,41.6,41.7,41.7,41.7,41.9,42.3,42.5,42.5,42.6,42.7,42.9
1973,43.8,44.7,45.8,46.5,47.0,47.6,48.0,50.9,50.5,50.6,51.1,51.6
1974,52.4,53.7,54.2,54.1,54.4,54.6,54.7,55.5,56.2,56.6,57.2,57.8
1975,58.2,58.5,58.4,58.3,58.6,59.4,60.9,60.7,60.6,61.0,61.3,61.6
1976,61.6,61.3,60.9,61.1,61.3,61.7,62.1,62.2,61.9,61.9,61.7,61.9
1977,62.5,64.0,64.3,65.1,65.3,66.0,66.3,66.5,66.3,66.3,66.7,66.9
1978,67.9,68.8,69.6,70.7,71.7,72.9,73.3,73.4,73.5,73.9,74.2,74.8
1979,76.3,77.8,78.5,79.2,79.9,80.2,80.7,80.5,80.8,81.2,81.5,82.4
1980,83.1,83.5,84.3,84.9,85.3,85.9,86.8,88.2,89.0,89.4,90.1,90.8
1981,91.5,92.3,92.8,93.0,92.9,93.2,94.1,94.5,94.7,94.6,94.4,94.7
1982,95.8,96.6,96.4,96.8,97.3,98.1,98.3,97.9,98.0,97.8,97.6,97.6
1983,98.2,98.5,99.0,99.5,99.7,99.5,99.5,99.6,99.7,99.8,99.7,100.2
1984,102.0,103.0,103.0,103.0,102.7,102.9,103.3,103.9,103.7,103.7,103.6,104.0
