Site,Ind,Year,Month,Date,Trial,Spec_Num,Sh_Height,Sex,Ww_Add,Ww_Gon,Ww_Vis
P,01,2022,05,11,LN,P01LN_2022_05_11,90,M,12.2,2.8,19.3
P,02,2022,05,11,LN,P02LN_2022_05_11,91,F,13.2,3.6,19.5
P,03,2022,05,11,LN,P03LN_2022_05_11,85,M,9,1.2,16.9
P,04,2022,05,11,LN,P04LN_2022_05_11,96,F,15,0.8,25.9
P,05,2022,05,11,LN,P05LN_2022_05_11,93,M,16,7,26.9
P,06,2022,05,11,LN,P06LN_2022_05_11,91,M,15,7.4,22.2
P,07,2022,05,11,LN,P07LN_2022_05_11,98,F,17.6,7.4,30.4
P,08,2022,05,11,LN,P08LN_2022_05_11,85,F,12.6,1.5,18.7
P,09,2022,05,11,LN,P09LN_2022_05_11,89,M,10.1,1.6,17.6
P,10,2022,05,11,LN,P10LN_2022_05_11,88,M,10.8,3.6,17.5
P,11,2022,05,11,LN,P11LN_2022_05_11,94,F,13.2,0.8,25.8
P,12,2022,05,11,LN,P12LN_2022_05_11,94,M,14.8,3.1,26.9
P,13,2022,05,11,LN,P13LN_2022_05_11,93,M,10.9,2.6,22.1
P,14,2022,05,11,LN,P14LN_2022_05_11,94,F,17.3,1.6,23.3
P,15,2022,05,11,LN,P15LN_2022_05_11,96,F,10.7,0.8,16.7
P,16,2022,05,11,LN,P16LN_2022_05_11,85,M,8.1,2.6,20.8
P,17,2022,05,11,LN,P17LN_2022_05_11,81,F,8.1,1.5,17.3
P,18,2022,05,11,LN,P18LN_2022_05_11,88,F,12.8,0.9,22
P,19,2022,05,11,LN,P19LN_2022_05_11,85,M,11.4,3,18.5
P,20,2022,05,11,LN,P20LN_2022_05_11,93,M,11.1,9.8,22
P,01,2022,05,11,EH,P01EH_2022_05_11,63,F,2.7,0.7,8.1
P,02,2022,05,11,EH,P02EH_2022_05_11,91,F,11,0.8,22
P,03,2022,05,11,EH,P03EH_2022_05_11,76,F,6,0.7,11.4
P,04,2022,05,11,EH,P04EH_2022_05_11,92,F,13.3,1.9,24.5
P,05,2022,05,11,EH,P05EH_2022_05_11,92,M,9.4,2.1,17.4
P,06,2022,05,11,EH,P06EH_2022_05_11,93,F,11.7,2,22.3
P,07,2022,05,11,EH,P07EH_2022_05_11,86,M,12.3,5.2,21.6
P,08,2022,05,11,EH,P08EH_2022_05_11,98,F,15.4,4.6,27.3
P,09,2022,05,11,EH,P09EH_2022_05_11,93,F,9.9,4.3,19.2
P,10,2022,05,11,EH,P10EH_2022_05_11,86,U,9.8,1.3,18.6
P,11,2022,05,11,EH,P11EH_2022_05_11,98,M,10.2,11,27.4
P,12,2022,05,11,EH,P12EH_2022_05_11,84,F,8.8,4.7,22.4
P,13,2022,05,11,EH,P13EH_2022_05_11,87,M,17.8,11.7,28.4
P,14,2022,05,11,EH,P14EH_2022_05_11,73,U,12.5,2.6,11.3
P,15,2022,05,11,EH,P15EH_2022_05_11,90,F,14.8,6.9,25.7
P,16,2022,05,11,EH,P16EH_2022_05_11,83,M,11.4,3.8,23.1
P,17,2022,05,11,EH,P17EH_2022_05_11,89,M,14.8,11.7,21.7
P,18,2022,05,11,EH,P18EH_2022_05_11,80,F,16.2,3.5,25.2
P,19,2022,05,11,EH,P19EH_2022_05_11,72,U,10.5,1.5,17.6
P,20,2022,05,11,EH,P20EH_2022_05_11,79,F,12.8,2.3,18.7
DK,01,2022,05,12,LN,DK01LN_2022_05_12,97,M,20.8,6.7,30.7
DK,02,2022,05,12,LN,DK02LN_2022_05_12,96,F,21.8,5.3,29.6
DK,03,2022,05,12,LN,DK03LN_2022_05_12,103,M,24.3,13.8,39
DK,04,2022,05,12,LN,DK04LN_2022_05_12,102,F,22.9,4.5,31.3
DK,05,2022,05,12,LN,DK05LN_2022_05_12,96,M,22.1,7.5,26.9
DK,06,2022,05,12,LN,DK06LN_2022_05_12,99,F,20,4.9,24.7
DK,07,2022,05,12,LN,DK07LN_2022_05_12,92,M,14.6,4.8,21.1
DK,08,2022,05,12,LN,DK08LN_2022_05_12,98,F,22,5.1,27.6
DK,09,2022,05,12,LN,DK09LN_2022_05_12,91,F,17.8,2.1,22.7
DK,10,2022,05,12,LN,DK10LN_2022_05_12,95,F,19.2,4.3,25.4
DK,11,2022,05,12,LN,DK11LN_2022_05_12,102,F,24.9,7.1,27.1
DK,12,2022,05,12,LN,DK12LN_2022_05_12,87,M,16.4,5.3,18
DK,13,2022,05,12,LN,DK13LN_2022_05_12,98,F,20,2.3,28.1
DK,14,2022,05,12,LN,DK14LN_2022_05_12,95,M,17.6,7.6,27.4
DK,15,2022,05,12,LN,DK15LN_2022_05_12,101,F,26.1,4.9,30.7
DK,16,2022,05,12,LN,DK16LN_2022_05_12,93,F,15.7,3.5,31
DK,17,2022,05,12,LN,DK17LN_2022_05_12,91,M,19.9,6.4,24.9
DK,18,2022,05,12,LN,DK18LN_2022_05_12,96,M,25.1,5.4,21.4
DK,19,2022,05,12,LN,DK19LN_2022_05_12,95,M,23.4,5.5,26.5
DK,20,2022,05,12,LN,DK20LN_2022_05_12,78,F,13.9,,
DK,01,2022,05,12,EH,DK01EH_2022_05_12,100,M,26.7,5.4,19.4
DK,02,2022,05,12,EH,DK02EH_2022_05_12,95,F,21.1,7.6,27.1
DK,03,2022,05,12,EH,DK03EH_2022_05_12,98,M,24.3,8,30.3
DK,04,2022,05,12,EH,DK04EH_2022_05_12,94,F,23.7,7.5,23
DK,05,2022,05,12,EH,DK05EH_2022_05_12,98,M,20.8,6.7,23.9
DK,06,2022,05,12,EH,DK06EH_2022_05_12,94,F,21.7,9.8,27.5
DK,07,2022,05,12,EH,DK07EH_2022_05_12,97,M,22,11.4,27
DK,08,2022,05,12,EH,DK08EH_2022_05_12,100,F,26,8.6,31.5
DK,09,2022,05,12,EH,DK09EH_2022_05_12,93,M,22.6,9.9,29.8
DK,10,2022,05,12,EH,DK10EH_2022_05_12,93,M,23.5,9.3,31.8
DK,11,2022,05,12,EH,DK11EH_2022_05_12,89,F,20.1,4.8,24.5
DK,12,2022,05,12,EH,DK12EH_2022_05_12,98,F,21.1,8.7,29.9
DK,13,2022,05,12,EH,DK13EH_2022_05_12,104,F,22.4,9,33
DK,14,2022,05,12,EH,DK14EH_2022_05_12,96,M,27.6,7.3,28
DK,15,2022,05,12,EH,DK15EH_2022_05_12,97,F,26.2,6,30
DK,16,2022,05,12,EH,DK16EH_2022_05_12,100,M,24.8,6.1,31.1
DK,17,2022,05,12,EH,DK17EH_2022_05_12,98,M,22.8,11.5,32.3
DK,18,2022,05,12,EH,DK18EH_2022_05_12,87,M,16.2,7.1,22.3
DK,19,2022,05,12,EH,DK19EH_2022_05_12,101,M,23.2,5.9,25.5
DK,20,2022,05,12,EH,DK20EH_2022_05_12,101,M,27.1,8.4,36.9
P,01,2022,08,08,LN,P01LN_2022_08_08,100,M,25.21,17.21,27.83
P,02,2022,08,08,LN,P02LN_2022_08_08,91,M,22.87,9.03,30.03
P,03,2022,08,08,LN,P03LN_2022_08_08,92,F,22.3,15.01,23.14
P,04,2022,08,08,LN,P04LN_2022_08_08,100,F,22.99,9.67,35.23
P,05,2022,08,08,LN,P05LN_2022_08_08,98,F,23.02,14.89,30.67
P,06,2022,08,08,LN,P06LN_2022_08_08,93,M,18.59,15.7,26.17
P,07,2022,08,08,LN,P07LN_2022_08_08,95,F,22.22,12.32,29.84
P,08,2022,08,08,LN,P08LN_2022_08_08,95,M,22.32,16.46,30.18
P,09,2022,08,08,LN,P09LN_2022_08_08,97,F,23.97,11.59,33.13
P,10,2022,08,08,LN,P10LN_2022_08_08,89,M,14.22,13.02,28.88
P,11,2022,08,08,LN,P11LN_2022_08_08,102,F,33.66,9.74,40.17
P,12,2022,08,08,LN,P12LN_2022_08_08,98,F,25.08,7.95,28.58
P,13,2022,08,08,LN,P13LN_2022_08_08,101,M,28.02,16.37,30.97
P,14,2022,08,08,LN,P14LN_2022_08_08,92,F,19.75,11.02,24.64
P,15,2022,08,08,LN,P15LN_2022_08_08,104,F,25.74,13.08,34.08
P,16,2022,08,08,LN,P16LN_2022_08_08,95,F,22.82,12.74,31.42
P,17,2022,08,08,LN,P17LN_2022_08_08,92,F,19.28,11.25,21.34
P,18,2022,08,08,LN,P18LN_2022_08_08,99,F,21.93,10.82,27.21
P,19,2022,08,08,LN,P19LN_2022_08_08,93,F,22.08,12.65,25.84
P,20,2022,08,08,LN,P20LN_2022_08_08,95,F,21.08,13.62,27.94
P,01,2022,08,08,EH,P01EH_2022_08_08,96,F,20.48,12.15,34.17
P,02,2022,08,08,EH,P02EH_2022_08_08,96,F,19.99,16.73,30.36
P,03,2022,08,08,EH,P03EH_2022_08_08,97,F,21.64,7.8,30.97
P,04,2022,08,08,EH,P04EH_2022_08_08,105,M,20.31,15,35.03
P,05,2022,08,08,EH,P05EH_2022_08_08,96,M,18.36,14.37,25.69
P,06,2022,08,08,EH,P06EH_2022_08_08,92,M,16,25.3,29.7
P,07,2022,08,08,EH,P07EH_2022_08_08,94,F,18.2,10.99,27.59
P,08,2022,08,08,EH,P08EH_2022_08_08,96,F,16.91,15.4,25.46
P,09,2022,08,08,EH,P09EH_2022_08_08,101,F,23.39,18.59,36.68
P,10,2022,08,08,EH,P10EH_2022_08_08,101,F,19.78,19.26,28
P,11,2022,08,08,EH,P11EH_2022_08_08,96,F,18.73,13.68,28.78
P,12,2022,08,08,EH,P12EH_2022_08_08,98,F,20.12,20.59,28.35
P,13,2022,08,08,EH,P13EH_2022_08_08,86,F,13.09,7.48,18.13
P,14,2022,08,08,EH,P14EH_2022_08_08,96,M,24.79,14.78,29.53
P,15,2022,08,08,EH,P15EH_2022_08_08,95,F,16.76,12.41,22.5
P,16,2022,08,08,EH,P16EH_2022_08_08,93,M,19.5,11.51,24.12
P,17,2022,08,08,EH,P17EH_2022_08_08,93,M,13.24,13.61,23.71
P,18,2022,08,08,EH,P18EH_2022_08_08,89,M,14.89,11.45,19.72
P,19,2022,08,08,EH,P19EH_2022_08_08,92,M,17.06,14.57,29.53
P,20,2022,08,08,EH,P20EH_2022_08_08,101,F,29.5,13.58,33.2
P,21,2022,08,08,EH,P21EH_2022_08_08,84,F,7.7,3.41,11.66
P,1,2022,11,3,EH,P1EH_2022_11_3,104,M,26.9,6.4,37.3
P,2,2022,11,3,EH,P2EH_2022_11_3,105,F,27.5,5.6,34.2
P,3,2022,11,3,EH,P3EH_2022_11_3,110,F,33.7,5.5,42.8
P,4,2022,11,3,EH,P4EH_2022_11_3,107,M,30.6,5.7,35.4
P,5,2022,11,3,EH,P5EH_2022_11_3,99,M,24.6,7.9,34.5
P,6,2022,11,3,EH,P6EH_2022_11_3,97,M,22.6,3.9,30.2
P,7,2022,11,3,EH,P7EH_2022_11_3,107,F,29.7,5,45.9
P,8,2022,11,3,EH,P8EH_2022_11_3,102,M,20,4,28.3
P,9,2022,11,3,EH,P9EH_2022_11_3,100,M,25.1,3.3,30.3
P,10,2022,11,3,EH,P10EH_2022_11_3,98,M,21.7,2.8,21.4
P,11,2022,11,3,EH,P11EH_2022_11_3,96,M,16.1,9,23.6
P,12,2022,11,3,EH,P12EH_2022_11_3,100,M,24.1,8.5,39.2
P,13,2022,11,3,EH,P13EH_2022_11_3,101,F,19.5,4.2,29.1
P,14,2022,11,3,EH,P14EH_2022_11_3,104,F,19.8,4.2,32.8
P,15,2022,11,3,EH,P15EH_2022_11_3,103,F,30.5,4.5,37.6
P,16,2022,11,3,EH,P16EH_2022_11_3,107,M,30.6,4.7,46
P,17,2022,11,3,EH,P17EH_2022_11_3,93,M,18.2,6.9,29
P,18,2022,11,3,EH,P18EH_2022_11_3,98,M,19.6,7.1,30.4
P,19,2022,11,3,EH,P19EH_2022_11_3,100,F,19.3,3.2,28.6
P,20,2022,11,3,EH,P20EH_2022_11_3,93,M,18.1,3.2,28.2
P,1,2022,11,3,LN,P1LN_2022_11_3,107,M,28.1,8.5,43.6
P,2,2022,11,3,LN,P2LN_2022_11_3,114,F,33,4.5,47.8
P,3,2022,11,3,LN,P3LN_2022_11_3,107,F,26.6,3.8,38.1
P,4,2022,11,3,LN,P4LN_2022_11_3,116,M,32.3,10.2,47.2
P,5,2022,11,3,LN,P5LN_2022_11_3,107,F,28.3,4.2,40.9
P,6,2022,11,3,LN,P6LN_2022_11_3,114,F,38.1,3.8,50.7
P,7,2022,11,3,LN,P7LN_2022_11_3,114,M,28,4.7,37.2
P,8,2022,11,3,LN,P8LN_2022_11_3,108,F,27.8,8,45.5
P,9,2022,11,3,LN,P9LN_2022_11_3,111,M,27.1,6.7,47.1
P,10,2022,11,3,LN,P10LN_2022_11_3,109,F,27.1,6.1,40.1
P,11,2022,11,3,LN,P11LN_2022_11_3,111,F,35.2,4.8,44.7
P,12,2022,11,3,LN,P12LN_2022_11_3,110,F,30.5,3.2,41.1
P,13,2022,11,3,LN,P13LN_2022_11_3,105,F,26.6,3.6,38.1
P,14,2022,11,3,LN,P14LN_2022_11_3,107,F,30.9,3.8,44.1
P,15,2022,11,3,LN,P15LN_2022_11_3,110,M,25.7,28.1,42.7
P,16,2022,11,3,LN,P16LN_2022_11_3,105,M,23.3,12.7,39
P,17,2022,11,3,LN,P17LN_2022_11_3,113,F,43.8,4.9,53.8
P,18,2022,11,3,LN,P18LN_2022_11_3,109,F,25.8,4.2,48.2
P,19,2022,11,3,LN,P19LN_2022_11_3,108,F,29.3,3.2,45.1
P,20,2022,11,3,LN,P20LN_2022_11_3,113,M,27.7,8,46.9
P,1,2023,2,14,EH,P1EH_2023_2_14,94,M,19.2,4.75,32.7
P,2,2023,2,14,EH,P2EH_2023_2_14,115,M,26.42,10.28,55.39
