Site,Date,method,Net,Tier,IndTier,ShellHeight,Trial
Peters,8/3/21,,72,1,250,16,seed
Peters,8/3/21,,72,1,250,20,seed
Peters,8/3/21,,72,1,250,16,seed
Peters,8/3/21,,72,1,250,17,seed
Peters,8/3/21,,72,1,250,16,seed
Peters,8/3/21,,72,2,250,16,seed
Peters,8/3/21,,72,2,250,14,seed
Peters,8/3/21,,72,2,250,15,seed
Peters,8/3/21,,72,2,250,16,seed
Peters,8/3/21,,72,2,250,21,seed
Peters,8/3/21,,72,3,250,22,seed
Peters,8/3/21,,72,3,250,20,seed
Peters,8/3/21,,72,3,250,16,seed
Peters,8/3/21,,72,3,250,20,seed
Peters,8/3/21,,72,3,250,15,seed
Peters,8/3/21,,72,4,250,18,seed
Peters,8/3/21,,72,4,250,14,seed
Peters,8/3/21,,72,4,250,16,seed
Peters,8/3/21,,72,4,250,15,seed
Peters,8/3/21,,72,4,250,15,seed
Peters,8/3/21,,72,5,250,18,seed
Peters,8/3/21,,72,5,250,16,seed
Peters,8/3/21,,72,5,250,19,seed
Peters,8/3/21,,72,5,250,19,seed
Peters,8/3/21,,72,5,250,15,seed
Peters,8/3/21,,72,6,250,16,seed
Peters,8/3/21,,72,6,250,15,seed
Peters,8/3/21,,72,6,250,16,seed
Peters,8/3/21,,72,6,250,20,seed
Peters,8/3/21,,72,6,250,25,seed
Peters,8/3/21,,72,7,250,16,seed
Peters,8/3/21,,72,7,250,16,seed
Peters,8/3/21,,72,7,250,22,seed
Peters,8/3/21,,72,7,250,17,seed
Peters,8/3/21,,72,7,250,16,seed
Peters,8/3/21,,72,8,250,15,seed
Peters,8/3/21,,72,8,250,15,seed
Peters,8/3/21,,72,8,250,17,seed
Peters,8/3/21,,72,8,250,16,seed
Peters,8/3/21,,72,8,250,14,seed
Peters,8/3/21,,72,9,250,12,seed
Peters,8/3/21,,72,9,250,17,seed
Peters,8/3/21,,72,9,250,21,seed
Peters,8/3/21,,72,9,250,15,seed
Peters,8/3/21,,72,9,250,20,seed
Peters,8/3/21,,72,10,250,20,seed
Peters,8/3/21,,72,10,250,21,seed
Peters,8/3/21,,72,10,250,17,seed
Peters,8/3/21,,72,10,250,18,seed
Peters,8/3/21,,72,10,250,20,seed
Peters,8/3/21,,73,1,250,21,seed
Peters,8/3/21,,73,1,250,21,seed
Peters,8/3/21,,73,1,250,20,seed
Peters,8/3/21,,73,1,250,23,seed
Peters,8/3/21,,73,1,250,19,seed
Peters,8/3/21,,73,2,250,17,seed
Peters,8/3/21,,73,2,250,16,seed
Peters,8/3/21,,73,2,250,29,seed
Peters,8/3/21,,73,2,250,19,seed
Peters,8/3/21,,73,2,250,15,seed
Peters,8/3/21,,73,3,250,15,seed
Peters,8/3/21,,73,3,250,21,seed
Peters,8/3/21,,73,3,250,19,seed
Peters,8/3/21,,73,3,250,21,seed
Peters,8/3/21,,73,3,250,16,seed
Peters,8/3/21,,73,4,250,16,seed
Peters,8/3/21,,73,4,250,21,seed
Peters,8/3/21,,73,4,250,17,seed
Peters,8/3/21,,73,4,250,21,seed
Peters,8/3/21,,73,4,250,15,seed
Peters,8/3/21,,73,5,250,21,seed
Peters,8/3/21,,73,5,250,25,seed
