"","cond((Int))","disp((Int))","cond(mean_sh)","cond(Trial)","cond(wgdd.mean)","cond(mean_sh:Trial)","cond(mean_sh:wgdd.mean)","cond(Trial:wgdd.mean)","cond(mean_sh:Trial:wgdd.mean)","AIC","df","logLik","AIC","delta","weight"
"48",0.173739139093782,"+",-0.00215908064465472,"+",0.145073179202412,"+",NA,"+",NA,-370.624570103284,9,194.312285051642,-370.624570103284,0,NA
"56",0.297217216203392,"+",-0.0035453572662534,"+",-0.016387366621366,NA,0.00182760556419386,"+",NA,-370.225490523283,9,194.112745261641,-370.225490523283,0.399079580000944,NA
"16",0.205171051086542,"+",-0.00223872154528669,"+",0.114556689667763,"+",NA,NA,NA,-369.821129252265,8,192.910564626132,-369.821129252265,0.803440851018649,NA
"64",0.325903184857805,"+",-0.00382249076552154,"+",-0.0274696635239657,"+",0.00189961038258136,"+",NA,-369.762969580999,10,194.881484790499,-369.762969580999,0.861600522284732,NA
"6",0.178584620272874,"+",-0.00197771846495423,NA,0.113627257296047,NA,NA,NA,NA,-369.526327302829,6,190.763163651414,-369.526327302829,1.0982428004549,NA
"8",0.181394166446536,"+",-0.00196864707544434,"+",0.113739892167987,NA,NA,NA,NA,-369.308989162501,7,191.654494581251,-369.308989162501,1.31558094078252,NA
"32",0.35541246667878,"+",-0.00388014943019996,"+",-0.0558144217994262,"+",0.00187482303646051,NA,NA,-368.889879738557,9,193.444939869279,-368.889879738557,1.73469036472642,NA
"128",0.201661901233388,"+",-0.00246573260147966,"+",0.112947652618831,"+",0.000361604433515522,"+","+",-368.604296962327,11,195.302148481163,-368.604296962327,2.02027314095699,NA
"22",0.31805520291331,"+",-0.00350156202385386,NA,-0.0452039694857682,NA,0.00174877121630673,NA,NA,-368.403413570445,7,191.201706785222,-368.403413570445,2.22115653283907,NA
"24",0.322503255863339,"+",-0.00351018290213312,"+",-0.0469132377919089,NA,0.00176846715374732,NA,NA,-368.22741827501,8,192.113709137505,-368.22741827501,2.39715182827376,NA
"2",0.300987130630987,"+",-0.00236668520782673,NA,NA,NA,NA,NA,NA,-342.494001085548,5,176.247000542774,-342.494001085548,28.1305690177357,NA
"4",0.304051996128891,"+",-0.00235985247587791,"+",NA,NA,NA,NA,NA,-341.771589067934,6,176.885794533967,-341.771589067934,28.8529810353497,NA
"12",0.32769404346352,"+",-0.00262439768907037,"+",NA,"+",NA,NA,NA,-341.319175171472,7,177.659587585736,-341.319175171472,29.3053949318116,NA
"5",-0.0250653019449704,"+",NA,NA,0.166418566445497,NA,NA,NA,NA,-315.87236602072,5,162.93618301036,-315.87236602072,54.7522040825632,NA
"39",-0.0513970239382152,"+",NA,"+",0.204040697287254,NA,NA,"+",NA,-315.448776998359,7,164.72438849918,-315.448776998359,55.1757931049244,NA
"7",-0.0209566930548254,"+",NA,"+",0.166167456819949,NA,NA,NA,NA,-315.039789592727,6,163.519894796364,-315.039789592727,55.5847805105562,NA
"1",0.102069138565419,"+",NA,NA,NA,NA,NA,NA,NA,-283.131651120687,4,145.565825560343,-283.131651120687,87.4929189825967,NA
"3",0.106265289041198,"+",NA,"+",NA,NA,NA,NA,NA,-281.974283936345,5,145.987141968172,-281.974283936345,88.6502861669391,NA
"40",0.156898518759068,"+",-0.00200316281862514,"+",0.14588039608371,NA,NA,"+",NA,NA,8,NA,NA,NA,NA
