"","cond((Int))","disp((Int))","cond(Month)","cond(Sh_Height)","cond(Trial)","cond(wgdd.mean)","AICc","df","logLik","AICc","delta","weight"
"12",-3.43192788592089,"+","+",0.0283305342266575,NA,4.4719951023124,1534.62708159022,8,-759.049804531374,1534.62708159022,0,0.727964790047521
"16",-3.44097826172196,"+","+",0.0283243430817831,"+",4.48001392860608,1536.59572394109,9,-758.966979617604,1536.59572394109,1.96864235086946,0.272035209952477
"4",-0.0962055945743643,"+","+",0.0306739264749573,NA,NA,1603.22366344365,7,-794.40745215978,1603.22366344365,68.5965818534269,9.25873994103563e-16
"8",-0.0962191390022152,"+","+",0.0306738723391938,"+",NA,1605.34237158426,8,-794.407449528394,1605.34237158426,70.7152899940404,3.20981689548535e-16
"3",0.0457812756982996,"+",NA,0.0308872940226586,NA,NA,1632.84136288708,4,-812.348479277475,1632.84136288708,98.2142812968586,3.42886327712686e-22
"11",0.046079732883947,"+",NA,0.0308916645605686,NA,-0.00110546274779331,1634.9141756352,5,-812.348392165426,1634.9141756352,100.28709404498,1.21631090109191e-22
"7",0.0457361091727323,"+",NA,0.0308873338317178,"+",NA,1634.91433261573,5,-812.348470655692,1634.91433261573,100.287251025511,1.21621543627289e-22
"15",0.0460348564248675,"+",NA,0.030891727201465,"+",-0.00111307356465976,1637.00221945764,6,-812.348382456092,1637.00221945764,102.375137867418,4.28185192120416e-23
"10",-3.10264636612919,"+","+",NA,NA,7.64545820868685,1948.28262137897,7,-966.936931127443,1948.28262137897,413.655539788752,1.09131771377257e-90
"14",-3.14011869393813,"+","+",NA,"+",7.66377106932454,1948.72805547547,8,-966.100291473999,1948.72805547547,414.100973885251,8.73426610715565e-91
"9",2.63515845559581,"+",NA,NA,NA,0.743962074351954,2009.70917044545,4,-1000.78238305666,2009.70917044545,475.082088855229,5.00432554024086e-104
"13",2.60977839208974,"+",NA,NA,"+",0.747987816739687,2010.58065557613,5,-1000.18163213589,2010.58065557613,475.953573985908,3.23671873701588e-104
"2",3.18394270682597,"+","+",NA,NA,NA,2023.15858852776,6,-1005.42656699115,2023.15858852776,488.531506937538,6.00954407328529e-107
"6",3.16411602223962,"+","+",NA,"+",NA,2024.27640475446,7,-1004.93382281519,2024.27640475446,489.649323164239,3.43645621717084e-107
"1",3.18427395094069,"+",NA,NA,NA,NA,2043.45850677776,3,-1018.68608792125,2043.45850677776,508.831425187539,2.3483903389074e-111
"5",3.16428866514362,"+",NA,NA,"+",NA,2044.72812201757,4,-1018.29185884272,2044.72812201757,510.101040427345,1.24473482018195e-111
