"","Trial","yrDate","pred","m2.5","m5","m7.5","m10","p.2.5","p.5","p.7.5","p.10","0%","2.5%","5%","7.5%","10%"
"1","Ear Hanging",May 2003,16.1196483186589,0,0,0,0,16.1196483186589,16.1196483186589,16.1196483186589,16.1196483186589,0,0,0,0,0
"3","Ear Hanging",Aug 2003,21.498733099013,0.025,0.05,0.075,0.1,20.9612647715377,20.4237964440624,19.8863281165871,19.3488597891117,25.0204733254775,23.0979213594641,21.074182447871,18.9410522437594,16.6894148060861
"5","Ear Hanging",Nov 2003,27.1264414782242,0.05,0.1,0.15,0.2,25.770119404313,24.4137973304018,23.0574752564906,21.7011531825794,20.7462095008991,18.6605834351333,16.343221139838,13.7532279862726,10.8394856885115
"7","Ear Hanging",Feb 2004,27.4276707998358,0.075,0.15,0.225,0.3,25.3705954898481,23.3135201798605,21.2564448698728,19.1993695598851,1.0982679638017,-1.57475182096042,-4.71948097950409,-8.47286739454009,-13.0305508985123
"9","Ear Hanging",May 2004,35.1093558457718,0.1,0.2,0.3,0.4,31.5984202611946,28.0874846766174,24.5765490920402,21.0656135074631,21.8793106876697,19.709291540105,16.9967676056491,13.5092368327772,8.85919580228134
"11","Ear Hanging",Aug 2004,40.706759817952,0.125,0.25,0.375,0.5,35.618414840708,30.530069863464,25.44172488622,20.353379908976,13.7505514986033,11.2862815414205,8.00058826517683,3.40061767843568,-3.49933820167606
"2","Lantern Net",May 2003,14.8167228772169,0,0,0,0,14.8167228772169,14.8167228772169,14.8167228772169,14.8167228772169,0,0,0,0,0
"4","Lantern Net",Aug 2003,19.2895472790524,0.025,0.05,0.075,0.1,18.8073085970761,18.3250699150998,17.8428312331235,17.3605925511472,23.1878142971909,21.2182710740419,19.1450676812536,16.9597992402063,14.6531269968788
"6","Lantern Net",Nov 2003,24.1024237347427,0.05,0.1,0.15,0.2,22.8973025480056,21.6921813612685,20.4870601745313,19.2819389877942,19.9684335013691,17.862339646142,15.5222353625563,12.9068246926664,9.96448768904027
"8","Lantern Net",Feb 2004,25.072559262062,0.075,0.15,0.225,0.3,23.1921173174074,21.3116753727527,19.4312334280981,17.5507914834434,3.86931193253653,1.2711852280105,-1.78543442437309,-5.43365788044382,-9.86364350567254
"10","Lantern Net",May 2004,33.6962034582511,0.1,0.2,0.3,0.4,30.326583112426,26.9569627666009,23.5873424207757,20.2177220749506,25.5923318093494,23.5254521373868,20.9418525474337,17.6200816460654,13.1910537775742
"12","Lantern Net",Aug 2004,38.9518373732227,0.125,0.25,0.375,0.5,34.0828577015699,29.2138780299171,24.3448983582642,19.4759186866114,13.4926469953498,11.0210083380741,7.72549012837311,3.11176463479177,-3.80882360558026
