"","Site","Date","Month","Year","Cohort","day","day.adjusted","Trial","IndTier","ShellHeight","variance","std"
"1","Acadia Aqua Farms",2021-08-26,8,21,"y1",0,329,"Seed",100,31.9217391304348,27.6868039664378,5.26182515544158
"2","Acadia Aqua Farms",2021-08-26,8,21,"y2",365,695,"Ear Hanging",NA,70.3295454545455,39.2507792207792,6.26504423135058
"3","Acadia Aqua Farms",2021-08-26,8,21,"y2",365,695,"Lantern Net",10,72.4733333333333,38.0898881431767,6.17170058761576
"4","Acadia Aqua Farms",2021-11-11,11,21,"y1",77,406,"Seed",25,43.9916666666667,39.0167366946779,6.24633786267425
"5","Acadia Aqua Farms",2021-11-11,11,21,"y2",442,772,"Ear Hanging",NA,80.5595238095238,52.8706871970345,7.27122322563642
"6","Acadia Aqua Farms",2021-11-11,11,21,"y2",442,772,"Lantern Net",10,81.725,42.5035714285714,6.5194763155158
"7","Acadia Aqua Farms",2022-02-10,2,22,"y1",168,497,"Seed",25,60.1916666666667,40.1898459383753,6.33954619340969
"8","Acadia Aqua Farms",2022-02-10,2,22,"y2",533,863,"Ear Hanging",NA,93.068085106383,46.0550560268566,6.78638755354103
"9","Acadia Aqua Farms",2022-02-10,2,22,"y2",533,863,"Lantern Net",10,92.0083333333333,41.8738795518207,6.47100297881408
"10","Acadia Aqua Farms",2022-05-12,5,22,"y1",259,588,"Seed",25,64.8666666666667,45.9988795518207,6.78224738208661
"11","Acadia Aqua Farms",2022-05-12,5,22,"y2",624,954,"Ear Hanging",NA,94.8551236749117,49.0746811016716,7.00533233342085
"12","Acadia Aqua Farms",2022-05-12,5,22,"y2",624,954,"Lantern Net",10,94.5,39.0084033613445,6.24567076952865
"13","Vertical Bay Farms",2021-08-03,8,21,"y1",0,306,"Seed",250,17.595,8.66429648241206,2.94351770546944
"14","Vertical Bay Farms",2021-08-09,8,21,"y2",371,678,"Ear Hanging",NA,58.3267813267813,38.4668425702908,6.202164345637
"15","Vertical Bay Farms",2021-08-19,8,21,"y2",381,688,"Lantern Net",10,64.925,27.0447478991597,5.20045650872687
"16","Vertical Bay Farms",2021-11-02,11,21,"y1",91,397,"Seed",25,32.3875,9.77342767295598,3.12624817840106
"17","Vertical Bay Farms",2021-11-02,11,21,"y2",456,763,"Ear Hanging",NA,70.605,31.5528571428571,5.61719299498042
"18","Vertical Bay Farms",2021-11-02,11,21,"y2",456,763,"Lantern Net",10,72.9666666666667,26.3014005602241,5.12848911086141
"19","Vertical Bay Farms",2022-02-11,2,22,"y1",192,498,"Seed",25,49.2125,17.1998427672956,4.14726931453645
