"","DT","Temp","Site"
"1",2021-08-26,61.0641666666667,"Vertical Bay Farm"
"2",2021-08-27,60.33125,"Vertical Bay Farm"
"3",2021-08-28,60.8833333333333,"Vertical Bay Farm"
"4",2021-08-29,60.1916666666667,"Vertical Bay Farm"
"5",2021-08-30,61.0670833333333,"Vertical Bay Farm"
"6",2021-08-31,61.75375,"Vertical Bay Farm"
"7",2021-09-01,61.1020833333333,"Vertical Bay Farm"
"8",2021-09-02,60.4583333333333,"Vertical Bay Farm"
"9",2021-09-03,58.8475,"Vertical Bay Farm"
"10",2021-09-04,59.16375,"Vertical Bay Farm"
"11",2021-09-05,59.4666666666667,"Vertical Bay Farm"
"12",2021-09-06,60.3545833333333,"Vertical Bay Farm"
"13",2021-09-07,60.2454166666667,"Vertical Bay Farm"
"14",2021-09-08,60.775,"Vertical Bay Farm"
"15",2021-09-09,61.2858333333333,"Vertical Bay Farm"
"16",2021-09-10,60.845,"Vertical Bay Farm"
"17",2021-09-11,60.4795833333333,"Vertical Bay Farm"
"18",2021-09-12,60.7945833333333,"Vertical Bay Farm"
"19",2021-09-13,60.75375,"Vertical Bay Farm"
"20",2021-09-14,60.8425,"Vertical Bay Farm"
"21",2021-09-15,60.8070833333333,"Vertical Bay Farm"
"22",2021-09-16,60.7208333333333,"Vertical Bay Farm"
"23",2021-09-17,60.68875,"Vertical Bay Farm"
"24",2021-09-18,60.7754166666667,"Vertical Bay Farm"
"25",2021-09-19,60.1883333333333,"Vertical Bay Farm"
"26",2021-09-20,59.955,"Vertical Bay Farm"
"27",2021-09-21,59.9504166666667,"Vertical Bay Farm"
"28",2021-09-22,60.2666666666667,"Vertical Bay Farm"
"29",2021-09-23,60.5816666666667,"Vertical Bay Farm"
"30",2021-09-24,61.2579166666667,"Vertical Bay Farm"
"31",2021-09-25,61.6379166666667,"Vertical Bay Farm"
"32",2021-09-26,61.5104166666667,"Vertical Bay Farm"
"33",2021-09-27,60.7991666666667,"Vertical Bay Farm"
"34",2021-09-28,61.0554166666667,"Vertical Bay Farm"
"35",2021-09-29,60.3,"Vertical Bay Farm"
